Zone, 250C11, 500C11, WrPr11, OtPk11, BkSc11
Zone, 2011_250m_car_share, 2011_500m_car_share, 2011_work_parking, 2011_nonwork_parking, 2011_bike_score
28070, 0, 1, 0.25, 0.2, 3
28080, 0, 0, 0.25, 0.2, 3
28090, 0, 0, 0.25, 0.2, 3
28100, 0, 0, 0.25, 0.15, 3
28110, 0, 0, 0.25, 0.2, 2
28120, 0, 0, 0.25, 0.2, 3
28130, 0, 0, 0.25, 0.2, 3
28140, 0, 0, 0.25, 0.2, 3
28150, 0, 0, 0, 0, 3
28160, 0, 1, 0, 0, 3
28170, 0, 1, 0.35, 0.15, 3
28180, 0, 1, 0.35, 0.15, 3
28190, 0, 0, 0.35, 0.15, 3
28200, 0, 0, 0.25, 0.2, 2
28210, 0, 0, 0.25, 0.2, 3
28220, 0, 0, 0.35, 0.15, 3
28230, 0, 0, 0, 0, 3
28240, 1, 1, 0.35, 0.15, 3
28250, 0, 1, 0.35, 0.15, 3
28260, 0, 1, 0.35, 0.15, 3
28270, 0, 0, 0.35, 0.15, 3
28280, 0, 0, 0.25, 0.2, 3
28290, 1, 2, 0.35, 0.15, 3
28300, 0, 1, 0.25, 0.2, 3
28310, 0, 0, 0.25, 0.15, 3
28320, 1, 1, 0.35, 0.15, 3
28330, 2, 2, 0.35, 0.15, 3
28340, 0, 0, 0.25, 0.15, 3
28350, 0, 0, 0.25, 0.15, 3
28360, 1, 2, 0.35, 0.15, 3
28370, 1, 2, 0.35, 0.15, 3
28380, 1, 2, 0.25, 0.15, 3
28390, 0, 1, 0.25, 0.15, 3
28400, 0, 1, 0.25, 0.15, 3
28410, 0, 0, 0.25, 0.15, 3
28420, 0, 0, 0.25, 0.15, 3
28430, 0, 1, 0.25, 0.15, 3
28440, 0, 0, 0.25, 0.15, 3
28450, 0, 0, 0.25, 0.15, 3
28460, 0, 0, 0.25, 0.15, 3
28470, 1, 1, 0.25, 0.15, 3
28480, 0, 1, 0.25, 0.15, 3
28490, 0, 0, 0.25, 0.15, 3
28500, 0, 1, 0.35, 0, 2
28510, 0, 1, 0.25, 0.15, 2
28520, 0, 0, 0.25, 0.15, 2
